Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4sMR8fuTzbUyzB0asxifV0,"Desire","Desire","Ian Asher;Olly Alexander (Years & Years)",2025-07-25,158840,82,false,pn2j34xi6m76lhpkxv68432hk,2025-11-18T23:27:13Z,"","Easier Said",0.685,0.89,0,-5.51,1,0.0376,0.014,0.311,0.113,0.247,137.985,4
spotify:track:3cZajhyr8LmtPfHZ9296tj,"No Broke Boys","No Broke Boys","Disco Lines;Tinashe",2025-06-06,163994,92,true,pn2j34xi6m76lhpkxv68432hk,2025-11-19T23:38:12Z,"stutter house,alternative r&b","Nice Life/Atlantic",0.767,0.834,1,-7.415,0,0.0315,0.34,0.111,0.0901,0.962,130.999,4
spotify:track:4Nh7Umpl8YPFPcggcby6JW,"Runaway (U & I)","Runaway (U & I)","Ian Asher;Galantis",2025-07-11,147307,73,false,pn2j34xi6m76lhpkxv68432hk,2025-11-19T23:38:21Z,"","Easier Said",0.641,0.852,11,-6.541,0,0.0366,0.22,0.759,0.553,0.0814,137.962,4
spotify:track:6I96oT2ZcOypVJkmqSujtr,"Drugs I Like","Drugs I Like","nate band",2025-06-13,198774,71,false,pn2j34xi6m76lhpkxv68432hk,2025-11-19T23:42:31Z,"","Thirty Knots",0.656,0.413,2,-20.958,1,0.0819,0.0212,0.617,0.196,0.0654,138.085,4
spotify:track:4zWWGFmM2LhtnMAVrTmYBg,"tell you straight - Sped Up","tell you straight (Speed Garage)","Strn.;ALEXYS",2025-05-02,94344,69,false,pn2j34xi6m76lhpkxv68432hk,2025-11-19T23:42:38Z,"uk garage","Too Future",0.875,0.775,6,-5.981,1,0.265,0.222,0.218,0.137,0.864,145.02,4
spotify:track:1GfJCWGLfdev016PSsrUO8,"Make Me Feel","Make Me Feel","oskar med k",2025-06-20,186240,83,false,pn2j34xi6m76lhpkxv68432hk,2025-11-19T23:57:59Z,"","7CULT powered by PULSE.CX",0.797,0.71,6,-8.008,0,0.0862,0.139,0.107,0.152,0.175,124.919,4
spotify:track:2qtQauWqPaGHrmrXbDa35k,"Constellations","Constellations","Ian Asher;Jade LeMac",2025-10-10,163843,68,false,pn2j34xi6m76lhpkxv68432hk,2025-11-19T23:58:05Z,"","Arista Records/B1 Recordings",0.542,0.871,6,-4.064,0,0.0629,0.0943,0.000136,0.362,0.24,170.245,4
spotify:track:4ClVzfSYEea03HjEoDYOX3,"Sweet Nothing - 2025 Edit","Sweet Nothing (2025 Edit)","D.O.D;Calvin Harris;Florence Welch",2025-08-22,202176,70,false,pn2j34xi6m76lhpkxv68432hk,2025-11-19T23:58:13Z,"house,edm","Columbia",0.501,0.965,8,-4.711,0,0.0455,0.00185,0.174,0.145,0.402,130.037,4
spotify:track:5gyCGvqqz7KUlDPzlSw7HX,"Sailor Song","Sailor Song","Manil",2025-08-01,216888,62,false,pn2j34xi6m76lhpkxv68432hk,2025-11-20T00:18:58Z,"stutter house","TH3RD BRAIN",0.641,0.791,4,-5.2,1,0.041,0.179,0.0117,0.179,0.465,135.045,4
spotify:track:1JVlr2bSM8FguB3zvMaRNc,"Headlights","Headlights","NONSENSE",2025-07-04,113571,54,false,pn2j34xi6m76lhpkxv68432hk,2025-11-20T03:07:57Z,"uk garage","Garde",0.653,0.907,3,-5.202,0,0.199,0.0142,0.0698,0.339,0.378,139.996,4
spotify:track:53mNFIZypKLnQlQyw3DKAo,"Too Late","Too Late","Shankz",2025-06-13,240000,67,false,pn2j34xi6m76lhpkxv68432hk,2025-11-20T03:08:08Z,"house","broke",0.683,0.874,6,-5.763,0,0.0384,0.0131,0.00108,0.142,0.567,132.021,4
spotify:track:2LEFdBlzEJQRKTjI47oHSS,"Key To My Heart","Key To My Heart","BOVSKI",2025-08-15,132006,64,false,pn2j34xi6m76lhpkxv68432hk,2025-11-20T03:08:21Z,"uk garage","AAO Records / APRIL22 RECORDS",0.666,0.92,3,-4.963,0,0.0759,0.000981,0.00419,0.0794,0.317,155.028,4
